space_group,lattice,M,m
P1,triclinic,1,1
P121,monoclinic,2,2
P1211,monoclinic,2,2
C2,monoclinic,4,2
P222,orthorhombic,4,4
P2221,orthorhombic,4,4
P21212,orthorhombic,4,4
P212121,orthorhombic,4,4
I222,orthorhombic,8,4
I212121,orthorhombic,8,4
C2221,orthorhombic,8,4
C222,orthorhombic,8,4
F222,orthorhombic,16,4
P4,tetragonal,4,4
P41,tetragonal,4,4
P42,tetragonal,4,4
P43,tetragonal,4,4
I4,tetragonal,8,4
I41,tetragonal,8,4
P422,tetragonal,8,8
P4212,tetragonal,8,8
P4122,tetragonal,8,8
P41212,tetragonal,8,8
P4222,tetragonal,8,8
P42212,tetragonal,8,8
P4322,tetragonal,8,8
P43312,tetragonal,8,8
I422,tetragonal,16,8
I4122,tetragonal,16,8
P3,trigonal,3,3
P31,trigonal,3,3
P32,trigonal,3,3
R3,trigonal,6,3
P312,trigonal,9,6
P321,trigonal,9,6
P3112,trigonal,9,6
P3121,trigonal,9,6
P3212,trigonal,9,6
P3221,trigonal,9,6
R32,trigonal,18,6
P6,hexagonal,6,6
P61,hexagonal,6,6
P62,hexagonal,6,6
P63,hexagonal,6,6
P64,hexagonal,6,6
P65,hexagonal,6,6
P622,hexagonal,12,12
P6122,hexagonal,12,12
P6522,hexagonal,12,12
P6222,hexagonal,12,12
P6422,hexagonal,12,12
P6322,hexagonal,12,12
P23,cubic,12,12
P213,cubic,12,12
I23,cubic,24,12
I213,cubic,24,12
F23,cubic,48,12
P432,cubic,24,24
P4232,cubic,24,24
P4332,cubic,24,24
P4132,cubic,24,24
I432,cubic,48,24
I4132,cubic,48,24
F432,cubic,96,24
F4132,cubic,96,24
